idDataDetail,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year,idLoad,idUser
4811,MÁLAGA,ATHLETIC,1-0,1-0,4.4,6.0,5.0,40,60,5.0,3.0,12.0,4.0,5.0,13.0,69.0,11.0,16.0,13.0,3.0,0.0,2.0,5.0,5.0,12.0,2.0,4.0,22.0,84.0,17.0,14.0,9.0,3.0,0.0,0.0,1,0,0,1,2014,46,5
4812,SEVILLA FC,VALENCIA,1-1,1-0,4.7,6.0,6.0,47,53,4.0,3.0,12.0,5.0,3.0,20.0,76.0,13.0,16.0,23.0,4.0,0.0,0.0,5.0,1.0,11.0,5.0,3.0,27.0,79.0,14.0,16.0,8.0,2.0,0.0,1.0,1,1,1,1,2014,46,5
4813,GRANADA,DEPORTIVO,2-1,0-1,4.6,7.0,5.0,53,47,6.0,3.0,10.0,1.0,5.0,25.0,79.0,20.0,21.0,13.0,1.0,0.0,0.0,1.0,1.0,8.0,6.0,3.0,30.0,76.0,10.0,14.0,26.0,3.0,0.0,0.0,2,1,1,2,2014,46,5
4814,ALMERÍA,ESPANYOL,1-1,0-0,5.6,6.0,5.0,56,44,7.0,6.0,19.0,6.0,11.0,26.0,81.0,19.0,25.0,8.0,3.0,0.0,0.0,6.0,2.0,12.0,4.0,7.0,19.0,70.0,11.0,20.0,9.0,3.0,1.0,0.0,1,1,1,1,2014,46,5
4815,EIBAR,REAL SOCIEDAD,1-0,1-0,3.7,6.0,5.0,41,59,5.0,5.0,12.0,2.0,5.0,28.0,60.0,29.0,17.0,13.0,4.0,0.0,0.0,7.0,4.0,19.0,8.0,6.0,36.0,75.0,25.0,20.0,14.0,1.0,0.0,0.0,1,0,0,1,2014,46,5
4816,BARCELONA,ELCHE,3-0,1-0,5.1,8.0,5.0,72,28,5.0,6.0,12.0,1.0,3.0,23.0,93.0,2.0,2.0,11.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,19.0,81.0,4.0,17.0,13.0,1.0,0.0,0.0,3,0,0,3,2014,46,5
4817,CELTA,GETAFE,3-1,1-0,7.0,7.0,5.0,59,41,4.0,9.0,20.0,7.0,4.0,21.0,82.0,27.0,15.0,19.0,4.0,0.0,0.0,8.0,3.0,12.0,1.0,4.0,19.0,74.0,22.0,7.0,15.0,1.0,0.0,0.0,3,1,1,3,2014,46,5
4818,LEVANTE,VILLARREAL,0-2,0-0,4.7,5.0,7.0,53,47,4.0,2.0,9.0,3.0,3.0,16.0,80.0,19.0,12.0,11.0,1.0,0.0,0.0,5.0,6.0,12.0,1.0,4.0,14.0,78.0,21.0,18.0,14.0,3.0,0.0,0.0,0,2,2,0,2014,46,5
4819,REAL MADRID,CÓRDOBA,2-0,1-0,4.7,6.0,5.0,63,37,3.0,8.0,14.0,3.0,8.0,25.0,88.0,23.0,13.0,9.0,1.0,0.0,0.0,6.0,2.0,8.0,0.0,5.0,18.0,79.0,15.0,27.0,13.0,2.0,0.0,0.0,2,0,0,2,2014,46,5
4820,RAYO VALLECANO,ATLETICO MADRID,0-0,0-0,2.1,6.0,5.0,59,41,5.0,2.0,8.0,1.0,2.0,23.0,79.0,21.0,20.0,13.0,2.0,0.0,0.0,3.0,2.0,9.0,4.0,4.0,34.0,68.0,26.0,15.0,17.0,2.0,0.0,0.0,0,0,0,0,2014,46,5
4821,GETAFE,ALMERÍA,1-0,1-0,3.2,6.0,6.0,51,49,5.0,3.0,12.0,4.0,2.0,33.0,78.0,19.0,24.0,17.0,3.0,0.0,0.0,4.0,4.0,11.0,3.0,3.0,42.0,76.0,10.0,21.0,11.0,2.0,0.0,0.0,1,0,0,1,2014,46,5
4822,VALENCIA,MÁLAGA,3-0,2-0,5.3,6.0,5.0,60,40,7.0,4.0,14.0,3.0,4.0,19.0,86.0,18.0,19.0,18.0,1.0,0.0,0.0,7.0,4.0,17.0,6.0,5.0,25.0,74.0,15.0,24.0,11.0,2.0,0.0,1.0,3,0,0,3,2014,46,5
4823,ATHLETIC,LEVANTE,3-0,1-0,4.7,7.0,5.0,58,42,4.0,5.0,10.0,1.0,2.0,23.0,78.0,31.0,34.0,13.0,1.0,0.0,0.0,5.0,2.0,10.0,3.0,11.0,28.0,67.0,12.0,7.0,17.0,4.0,0.0,0.0,3,0,0,3,2014,46,5
4824,CÓRDOBA,CELTA,1-1,0-0,4.2,7.0,5.0,41,59,3.0,1.0,6.0,2.0,1.0,17.0,73.0,19.0,13.0,14.0,1.0,0.0,0.0,3.0,4.0,10.0,3.0,6.0,31.0,81.0,13.0,12.0,17.0,4.0,0.0,0.0,1,1,1,1,2014,46,5
4825,ATLETICO MADRID,EIBAR,2-1,2-1,5.4,6.0,5.0,43,57,7.0,6.0,14.0,1.0,5.0,22.0,73.0,27.0,25.0,12.0,3.0,0.0,0.0,3.0,2.0,8.0,3.0,5.0,32.0,79.0,19.0,16.0,18.0,0.0,0.0,0.0,2,1,1,2,2014,46,5
4826,ESPANYOL,SEVILLA FC,1-2,0-1,5.7,5.0,7.0,46,54,2.0,2.0,4.0,0.0,3.0,23.0,71.0,23.0,19.0,20.0,4.0,0.0,0.0,4.0,6.0,13.0,3.0,7.0,23.0,77.0,23.0,22.0,24.0,2.0,0.0,0.0,1,2,2,1,2014,46,5
4827,VILLARREAL,BARCELONA,0-1,0-0,5.2,5.0,7.0,28,72,7.0,0.0,9.0,2.0,3.0,12.0,69.0,7.0,28.0,12.0,0.0,0.0,0.0,8.0,8.0,20.0,4.0,10.0,22.0,89.0,11.0,6.0,9.0,2.0,0.0,0.0,0,1,1,0,2014,46,5
4828,DEPORTIVO,RAYO VALLECANO,2-2,1-1,7.0,6.0,5.0,49,51,4.0,5.0,10.0,1.0,2.0,28.0,72.0,12.0,18.0,16.0,4.0,0.0,0.0,7.0,2.0,12.0,3.0,4.0,25.0,74.0,20.0,16.0,18.0,6.0,0.0,0.0,2,2,2,2,2014,46,5
4829,REAL SOCIEDAD,REAL MADRID,4-2,2-2,9.0,7.0,5.0,45,55,3.0,5.0,13.0,5.0,8.0,22.0,78.0,13.0,22.0,18.0,1.0,0.0,0.0,9.0,5.0,19.0,5.0,6.0,27.0,83.0,17.0,16.0,12.0,2.0,0.0,0.0,4,2,2,4,2014,46,5
4830,ELCHE,GRANADA,1-1,0-0,5.0,6.0,5.0,59,41,9.0,3.0,15.0,3.0,8.0,26.0,80.0,16.0,9.0,12.0,4.0,0.0,0.0,1.0,4.0,5.0,0.0,4.0,19.0,76.0,19.0,20.0,17.0,4.0,0.0,0.0,1,1,1,1,2014,46,5
4831,ALMERÍA,CÓRDOBA,1-1,1-1,4.5,6.0,6.0,52,48,6.0,2.0,12.0,4.0,8.0,25.0,75.0,21.0,16.0,14.0,4.0,0.0,0.0,5.0,4.0,11.0,2.0,2.0,28.0,76.0,24.0,39.0,22.0,4.0,0.0,0.0,1,1,1,1,2014,46,5
4832,BARCELONA,ATHLETIC,2-0,0-0,4.3,7.0,5.0,61,39,5.0,8.0,14.0,1.0,5.0,20.0,84.0,12.0,11.0,12.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,22.0,74.0,15.0,19.0,11.0,1.0,0.0,0.0,2,0,0,2,2014,46,5
